Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points
2,Montrell Washington,DEN,HOU,WR,-,-,-,19,-,-,-,-,-,-,-,-,1.9
2,David Bell,CLE,NYJ,WR,-,-,-,-,-,1,6,-,-,-,-,-,1.6
2,D'Wayne Eskridge,SEA,SF,WR,-,-,-,-,-,1,6,-,-,-,-,-,1.6
2,Dax Milne,WAS,DET,WR,-,-,-,-,-,1,6,-,-,-,-,-,1.6
2,Jauan Jennings,SF,SEA,WR,-,-,-,-,-,1,4,-,-,-,-,-,1.4
2,Bryan Edwards,ATL,LA,WR,-,-,-,-,-,1,2,-,-,-,-,-,1.2
2,Shi Smith,CAR,NYG,WR,-,-,-,-,-,1,2,-,-,-,-,-,1.2
2,Darnell Mooney,CHI,GB,WR,-,-,-,-,-,1,-4,-,-,-,-,-,0.6
2,KaVontae Turpin,DAL,CIN,WR,-,-,-,3,-,-,-,-,-,-,-,-,0.3
2,Jamal Agnew,JAX,IND,WR,-,-,-,1,-,-,-,-,-,-,-,-,0.1
2,Mark Andrews,BAL,MIA,TE,-,-,-,3,-,9,104,1,-,-,-,-,25.7
2,Darren Waller,LV,ARI,TE,-,-,-,-,-,6,50,1,-,-,-,-,17
2,Zach Ertz,ARI,LV,TE,-,-,-,-,-,8,75,-,-,-,-,-,15.5
2,Irv Smith,MIN,PHI,TE,-,-,-,-,-,5,36,1,-,-,-,-,14.6
2,Mike Gesicki,MIA,BAL,TE,-,-,-,-,-,4,41,1,-,-,-,-,14.1
2,Tyler Higbee,LA,ATL,TE,-,-,-,-,-,7,71,-,-,-,-,-,14.1
2,Dallas Goedert,PHI,MIN,TE,-,-,-,-,-,5,82,-,-,-,-,-,13.2
2,Gerald Everett,LAC,KC,TE,-,-,-,-,-,6,71,-,-,-,-,-,13.1
2,Logan Thomas,WAS,DET,TE,-,-,-,-,-,3,37,1,-,-,-,-,12.7
2,Pat Freiermuth,PIT,NE,TE,-,-,-,-,-,4,22,1,-,-,-,-,12.2
2,Evan Engram,JAX,IND,TE,-,-,-,-,-,7,46,-,-,-,-,-,11.6
2,Ross Dwelley,SF,SEA,TE,-,-,-,-,-,1,38,1,-,-,-,-,10.8
2,Travis Kelce,KC,LAC,TE,-,-,-,-,-,5,51,-,-,-,-,-,10.1
2,Tyler Conklin,NYJ,CLE,TE,-,-,-,-,-,6,40,-,-,-,-,-,10
2,Reggie Gilliam,BUF,TEN,TE,-,-,-,-,-,2,17,1,-,-,-,-,9.7
2,Eric Saubert,DEN,HOU,TE,-,-,-,-,-,1,22,1,-,-,-,-,9.2
2,Daniel Bellinger,NYG,CAR,TE,-,-,-,-,-,1,16,1,-,-,-,-,8.6
2,Isaiah Likely,BAL,MIA,TE,-,-,-,-,-,4,43,-,-,-,-,-,8.3
2,Dawson Knox,BUF,TEN,TE,-,-,-,-,-,4,41,-,-,-,-,-,8.1
2,Juwan Johnson,NO,TB,TE,-,-,-,-,-,4,40,-,-,-,-,-,8
2,Harrison Bryant,CLE,NYJ,TE,-,-,-,-,-,3,45,-,-,-,-,-,7.5
2,Hayden Hurst,CIN,DAL,TE,-,-,-,-,-,5,24,-,-,-,-,-,7.4
2,David Njoku,CLE,NYJ,TE,-,-,-,-,-,3,32,-,-,-,-,-,6.2
2,Foster Moreau,LV,ARI,TE,-,-,-,-,-,3,30,-,-,-,-,-,6
2,T.J. Hockenson,DET,WAS,TE,-,-,-,-,-,3,26,-,-,-,-,-,5.6
2,Pharaoh Brown,CLE,NYJ,TE,-,-,-,-,-,3,24,-,-,-,-,-,5.4
2,Johnny Mundt,MIN,PHI,TE,-,-,-,-,-,2,28,-,-,-,-,-,4.8
2,Tanner Hudson,NYG,CAR,TE,-,-,-,-,-,2,22,-,-,-,-,-,4.2
2,Kyle Pitts,ATL,LA,TE,-,-,-,-,-,2,19,-,-,-,-,-,3.9
2,John Bates,WAS,DET,TE,-,-,-,-,-,2,15,-,-,-,-,-,3.5
2,Brock Wright,DET,WAS,TE,-,-,-,-,-,1,25,-,-,-,-,-,3.5
2,Kylen Granson,IND,JAX,TE,-,-,-,-,-,2,14,-,-,-,-,-,3.4
2,Noah Gray,KC,LAC,TE,-,-,-,-,-,2,12,-,-,-,-,-,3.2
2,Noah Fant,SEA,SF,TE,-,-,-,-,-,2,11,-,-,-,-,-,3.1
2,Robert Tonyan,GB,CHI,TE,-,-,-,-,-,2,11,-,-,-,-,-,3.1
2,Austin Hooper,TEN,BUF,TE,-,-,-,-,-,1,19,-,-,-,-,-,2.9
2,Ryan Griffin,CHI,GB,TE,-,-,-,-,-,1,18,-,-,-,-,-,2.8
2,Giovanni Ricci,CAR,NYG,TE,-,-,-,-,-,1,16,-,-,-,-,-,2.6
2,Brevin Jordan,HOU,DEN,TE,-,-,-,-,-,2,3,-,-,-,-,-,2.3
2,Stephen Sullivan,CAR,NYG,TE,-,-,-,-,-,1,13,-,-,-,-,-,2.3
2,Ian Thomas,CAR,NYG,TE,-,-,-,-,-,1,13,-,-,-,-,-,2.3
2,Will Dissly,SEA,SF,TE,-,-,-,-,-,2,-,-,-,-,-,-,2
2,Mo Alie-Cox,IND,JAX,TE,-,-,-,-,-,1,9,-,-,-,-,-,1.9
2,Cameron Brate,TB,NO,TE,-,-,-,-,-,1,9,-,-,-,-,-,1.9
2,Dan Arnold,JAX,IND,TE,-,-,-,-,-,1,8,-,-,-,-,-,1.8
