Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,TwoPT,Lost,Points
1,Shi Smith,CAR,CLE,WR,-,-,-,-,-,1,12,-,-,-,-,-,2.2
1,Andy Isabella,,,WR,-,-,-,-,-,1,10,-,-,-,-,-,2
1,DeVante Parker,NE,MIA,WR,-,-,-,-,-,1,9,-,-,-,-,-,1.9
1,Darnell Mooney,CHI,SF,WR,-,-,-,-,-,1,8,-,-,-,-,-,1.8
1,Trent Sherfield,MIA,NE,WR,-,-,-,-,-,1,8,-,-,-,-,-,1.8
1,Zach Pascal,PHI,DET,WR,-,-,-,-,-,1,7,-,-,-,-,-,1.7
1,Wan'Dale Robinson,NYG,TEN,WR,-,-,-,-,-,1,5,-,-,-,-,-,1.5
1,Deonte Harty,NO,ATL,WR,-,-,-,-,-,1,4,-,-,-,-,-,1.4
1,George Pickens,PIT,CIN,WR,-,-,-,-,-,1,3,-,-,-,-,-,1.3
1,D'Wayne Eskridge,SEA,DEN,WR,-,-,-,-,-,1,-,-,-,-,-,-,1
1,Dezmon Patmon,IND,HOU,WR,12,-,-,-,-,-,-,-,-,-,-,-,0.48
1,Jaelon Darden,TB,DAL,WR,-,-,-,2,-,-,-,-,-,-,-,-,0.2
1,Travis Kelce,KC,ARI,TE,-,-,-,-,-,8,121,1,-,-,-,-,26.1
1,O.J. Howard,HOU,IND,TE,-,-,-,-,-,2,38,2,-,-,-,-,17.8
1,Taysom Hill,NO,ATL,TE,-,-,-,81,1,1,2,-,-,-,-,-,15.3
1,Gerald Everett,LAC,LV,TE,-,-,-,-,-,3,54,1,-,-,-,-,14.4
1,Will Dissly,SEA,DEN,TE,-,-,-,-,-,3,43,1,-,-,-,-,13.3
1,Dalton Schultz,DAL,TB,TE,-,-,-,-,-,7,62,-,-,-,-,-,13.2
1,Pat Freiermuth,PIT,CIN,TE,-,-,-,-,-,5,75,-,-,-,-,-,12.5
1,Colby Parkinson,SEA,DEN,TE,-,-,-,-,-,2,43,1,-,-,-,-,12.3
1,Darren Waller,LV,LAC,TE,-,-,-,-,-,4,79,-,-,-,-,-,11.9
1,Tyler Conklin,NYJ,BAL,TE,-,-,-,-,-,4,16,1,-,-,-,-,11.6
1,Zach Ertz,ARI,KC,TE,-,-,-,-,-,2,14,1,-,-,1,-,11.4
1,Mark Andrews,BAL,NYJ,TE,-,-,-,-,-,5,52,-,-,-,-,-,10.2
1,Hayden Hurst,CIN,PIT,TE,-,-,-,-,-,5,46,-,-,-,-,-,9.6
1,Dallas Goedert,PHI,DET,TE,-,-,-,-,-,3,60,-,-,-,-,-,9
1,Tyler Higbee,LA,BUF,TE,-,-,-,-,-,5,39,-,-,-,-,-,8.9
1,Albert Okwuegbunam,DEN,SEA,TE,-,-,-,-,-,5,33,-,-,-,-,-,8.3
1,T.J. Hockenson,DET,PHI,TE,-,-,-,-,-,4,38,-,-,-,-,-,7.8
1,Logan Thomas,WAS,JAX,TE,-,-,-,-,-,3,45,-,-,-,-,-,7.5
1,Ian Thomas,CAR,CLE,TE,-,-,-,-,-,2,53,-,-,-,-,-,7.3
1,Andrew Beck,DEN,SEA,TE,-,-,-,-,-,2,52,-,-,-,-,-,7.2
1,Jody Fortson,KC,ARI,TE,-,-,-,-,-,1,1,1,-,-,-,-,7.1
1,Chris Myarick,NYG,TEN,TE,-,-,-,-,-,1,1,1,-,-,-,-,7.1
1,Evan Engram,JAX,WAS,TE,-,-,-,-,-,4,28,-,-,-,-,-,6.8
1,Robert Tonyan,GB,MIN,TE,-,-,-,-,-,3,36,-,-,-,-,-,6.6
1,Juwan Johnson,NO,ATL,TE,-,-,-,-,-,2,43,-,-,-,-,-,6.3
1,Jonnu Smith,NE,MIA,TE,-,-,-,-,-,3,33,-,-,-,-,-,6.3
1,Zach Gentry,PIT,CIN,TE,-,-,-,-,-,2,40,-,-,-,-,-,6
1,Tre' McKitty,LAC,LV,TE,-,-,-,-,-,3,24,-,-,-,-,-,5.4
1,Kylen Granson,IND,HOU,TE,-,-,-,-,-,3,22,-,-,-,-,-,5.2
1,Geoff Swaim,TEN,NYG,TE,-,-,-,-,-,3,19,-,-,-,-,-,4.9
1,Josiah Deguara,GB,MIN,TE,-,-,-,-,-,2,28,-,-,-,-,-,4.8
1,Johnny Mundt,MIN,GB,TE,-,-,-,-,-,3,17,-,-,-,-,-,4.7
1,Mo Alie-Cox,IND,HOU,TE,-,-,-,-,-,2,26,-,-,-,-,-,4.6
1,Noah Fant,SEA,DEN,TE,-,-,-,-,-,3,16,-,-,-,-,-,4.6
1,Hunter Henry,NE,MIA,TE,-,-,-,-,-,2,20,-,-,-,-,-,4
1,Kyle Pitts,ATL,NO,TE,-,-,-,-,-,2,19,-,-,-,-,-,3.9
1,Harrison Bryant,CLE,CAR,TE,-,-,-,-,-,2,18,-,-,-,-,-,3.8
1,Pharaoh Brown,CLE,CAR,TE,-,-,-,-,-,1,17,-,-,-,-,-,2.7
1,Durham Smythe,MIA,NE,TE,-,-,-,-,-,1,14,-,-,-,-,-,2.4
1,Ross Dwelley,SF,CHI,TE,-,-,-,-,-,1,11,-,-,-,-,-,2.1
1,Noah Gray,KC,ARI,TE,-,-,-,-,-,1,10,-,-,-,-,-,2
1,Tyler Kroft,SF,CHI,TE,-,-,-,-,-,1,9,-,-,-,-,-,1.9
1,Cameron Brate,TB,DAL,TE,-,-,-,-,-,1,7,-,-,-,-,-,1.7
1,David Njoku,CLE,CAR,TE,-,-,-,-,-,1,7,-,-,-,-,-,1.7
1,Chigoziem Okonkwo,TEN,NYG,TE,-,-,-,-4,-,1,11,-,-,-,-,-,1.7
1,Anthony Firkser,ATL,NO,TE,-,-,-,-,-,1,6,-,-,-,-,-,1.6
